Timestamp;TravelTimeMs;LocalTimeStamp
12/09/2019 06:00;1274306;12/09/2019 08:00
12/09/2019 06:01;1334526;12/09/2019 08:01
12/09/2019 06:02;1372285;12/09/2019 08:02
12/09/2019 06:03;1389221;12/09/2019 08:03
12/09/2019 06:04;1311440;12/09/2019 08:04
12/09/2019 06:05;1347224;12/09/2019 08:05
12/09/2019 06:06;1380766;12/09/2019 08:06
12/09/2019 06:07;1397295;12/09/2019 08:07
12/09/2019 06:08;1379089;12/09/2019 08:08
12/09/2019 06:09;1386254;12/09/2019 08:09
12/09/2019 06:10;1292613;12/09/2019 08:10
12/09/2019 06:11;1342833;12/09/2019 08:11
12/09/2019 06:12;1350296;12/09/2019 08:12
12/09/2019 06:13;1339819;12/09/2019 08:13
12/09/2019 06:14;1289739;12/09/2019 08:14
12/09/2019 06:15;1296532;12/09/2019 08:15
12/09/2019 06:16;1298591;12/09/2019 08:16
12/09/2019 06:17;1364844;12/09/2019 08:17
12/09/2019 06:18;1354827;12/09/2019 08:18
12/09/2019 06:19;1389914;12/09/2019 08:19
12/09/2019 06:20;1306110;12/09/2019 08:20
12/09/2019 06:21;1324569;12/09/2019 08:21
12/09/2019 06:22;1341057;12/09/2019 08:22
12/09/2019 06:23;1308666;12/09/2019 08:23
12/09/2019 06:24;1270918;12/09/2019 08:24
12/09/2019 06:25;1227945;12/09/2019 08:25
12/09/2019 06:26;1210261;12/09/2019 08:26
12/09/2019 06:27;1147289;12/09/2019 08:27
12/09/2019 06:28;1058342;12/09/2019 08:28
12/09/2019 06:29;1123153;12/09/2019 08:29
12/09/2019 06:30;1133255;12/09/2019 08:30
12/09/2019 06:31;1141834;12/09/2019 08:31
12/09/2019 06:32;1122477;12/09/2019 08:32
12/09/2019 06:33;1155100;12/09/2019 08:33
12/09/2019 06:34;1161231;12/09/2019 08:34
12/09/2019 06:35;1191887;12/09/2019 08:35
12/09/2019 06:36;1218701;12/09/2019 08:36
12/09/2019 06:37;1280833;12/09/2019 08:37
12/09/2019 06:38;1275565;12/09/2019 08:38
12/09/2019 06:39;1285953;12/09/2019 08:39
12/09/2019 06:40;1225771;12/09/2019 08:40
12/09/2019 06:41;1284941;12/09/2019 08:41
12/09/2019 06:42;1249637;12/09/2019 08:42
12/09/2019 06:43;1337847;12/09/2019 08:43
12/09/2019 06:44;1341678;12/09/2019 08:44
12/09/2019 06:45;1377999;12/09/2019 08:45
12/09/2019 06:46;1391331;12/09/2019 08:46
12/09/2019 06:47;1418277;12/09/2019 08:47
12/09/2019 06:48;1474226;12/09/2019 08:48
12/09/2019 06:49;1482129;12/09/2019 08:49
12/09/2019 06:50;1483454;12/09/2019 08:50
12/09/2019 06:51;1357401;12/09/2019 08:51
12/09/2019 06:52;1424797;12/09/2019 08:52
12/09/2019 06:53;1271085;12/09/2019 08:53
12/09/2019 06:54;1222505;12/09/2019 08:54
12/09/2019 06:55;1213008;12/09/2019 08:55
12/09/2019 06:56;1236083;12/09/2019 08:56
12/09/2019 06:57;1181510;12/09/2019 08:57
12/09/2019 06:58;1161619;12/09/2019 08:58
12/09/2019 06:59;1117852;12/09/2019 08:59
12/09/2019 07:00;1150636;12/09/2019 09:00
